epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.61639,2.90911,5.54413,4.37397,0,0,0,0,3.37882,5.96471,4.15881,0,0,0,0,0,0,0,0
2,2.98555,2.96605,5.69816,4.2352,0,0,0,0,3.37898,5.96478,4.15874,2.86314e-06,9.5438e-07,2.86314e-06,9.5438e-07,2.86314e-06,9.5438e-07,2.86314e-06,9.5438e-07
3,4.29594,3.16635,5.53486,4.22638,0,0,0,0,3.37915,5.96487,4.15866,4.31256e-06,1.43752e-06,4.31256e-06,1.43752e-06,4.31256e-06,1.43752e-06,4.31256e-06,1.43752e-06
4,5.77782,3.44264,5.61346,4.29121,0,0,0,0,3.37931,5.96497,4.15858,4.34826e-06,1.44942e-06,4.34826e-06,1.44942e-06,4.34826e-06,1.44942e-06,4.34826e-06,1.44942e-06
5,6.83712,3.6705,5.61461,4.35468,0,0,0,0,3.37931,5.96497,4.15858,2.97024e-06,9.9008e-07,2.97024e-06,9.9008e-07,2.97024e-06,9.9008e-07,2.97024e-06,9.9008e-07
